Year,Stage,Cancer-CA,Cancer-OR,Barnacle-CA,Barnacle-OR
2001,Recruit,3,1,15,20
2002,Recruit,15,22,16,12
2003,Recruit,28,19,13,15
2004,Recruit,19,2,14,22
2005,Recruit,25,14,15,10
2006,Recruit,23,8,8,19
2007,Recruit,28,30,11,14
2008,Recruit,17,24,10,13
2009,Recruit,10,8,8,9
2010,Recruit,6,30,12,9
2011,Recruit,22,12,5,18
2012,Recruit,33,24,5,13
2013,Recruit,30,32,11,11
2014,Recruit,30,13,5,3
2015,Recruit,32,20,4,18
2016,Recruit,30,10,3,8
2017,Recruit,1,25,9,5
2018,Recruit,12,13,10,3
2019,Recruit,28,19,4,13
2000,Adult,13,1,41,28
2001,Adult,17,5,38,18
2002,Adult,15,13,37,28
2003,Adult,16,7,42,37
2004,Adult,14,29,42,38
2005,Adult,20,32,39,33
2006,Adult,18,18,37,28
2007,Adult,16,36,35,28
2008,Adult,20,36,35,34
2009,Adult,18,39,31,35
2010,Adult,18,10,39,30
2011,Adult,17,22,31,17
2012,Adult,17,18,33,21
2013,Adult,17,23,34,28
2014,Adult,17,22,32,33
2015,Adult,23,14,31,32
2016,Adult,18,40,32,21
2017,Adult,19,36,34,15
2018,Adult,23,27,27,20
2019,Adult,19,43,28,30
